Region label,Unit of measure,Commodity,Year,Value
Tasmania,tonnes,Potatoes,1925,84700
Northern Territory,tonnes,Potatoes,1925,0
Australian Capital Territory,tonnes,Potatoes,1925,0
New South Wales,tonnes,Barley,1926,2400
Victoria,tonnes,Barley,1926,40300
Queensland,tonnes,Barley,1926,2100
South Australia,tonnes,Barley,1926,93900
Western Australia,tonnes,Barley,1926,3600
Tasmania,tonnes,Barley,1926,2100
Northern Territory,tonnes,Barley,1926,0
Australian Capital Territory,tonnes,Barley,1926,0
New South Wales,tonnes,Maize,1926,83300
Victoria,tonnes,Maize,1926,19500
Queensland,tonnes,Maize,1926,67500
South Australia,tonnes,Maize,1926,0
Western Australia,tonnes,Maize,1926,0
Tasmania,tonnes,Maize,1926,0
Northern Territory,tonnes,Maize,1926,0
Australian Capital Territory,tonnes,Maize,1926,0
New South Wales,tonnes,Oats,1926,29300
Victoria,tonnes,Oats,1926,90700
Queensland,tonnes,Oats,1926,300
South Australia,tonnes,Oats,1926,32700
Western Australia,tonnes,Oats,1926,53200
Tasmania,tonnes,Oats,1926,15200
Northern Territory,tonnes,Oats,1926,0
Australian Capital Territory,tonnes,Oats,1926,0
New South Wales,tonnes,Wheat,1926,920000
Victoria,tonnes,Wheat,1926,796200
Queensland,tonnes,Wheat,1926,53700
South Australia,tonnes,Wheat,1926,778000
Western Australia,tonnes,Wheat,1926,556800
Tasmania,tonnes,Wheat,1926,10700
Northern Territory,tonnes,Wheat,1926,0
Australian Capital Territory,tonnes,Wheat,1926,0
New South Wales,tonnes,Potatoes,1926,43800
Victoria,tonnes,Potatoes,1926,163300
Queensland,tonnes,Potatoes,1926,15600
South Australia,tonnes,Potatoes,1926,10900
Western Australia,tonnes,Potatoes,1926,16300
Tasmania,tonnes,Potatoes,1926,68400
Northern Territory,tonnes,Potatoes,1926,0
Australian Capital Territory,tonnes,Potatoes,1926,0
New South Wales,tonnes,Barley,1927,2300
Victoria,tonnes,Barley,1927,43600
Queensland,tonnes,Barley,1927,0
South Australia,tonnes,Barley,1927,105100
Western Australia,tonnes,Barley,1927,2900
Tasmania,tonnes,Barley,1927,3400
Northern Territory,tonnes,Barley,1927,0
Australian Capital Territory,tonnes,Barley,1927,0
New South Wales,tonnes,Maize,1927,91400
Victoria,tonnes,Maize,1927,17400
Queensland,tonnes,Maize,1927,170300
South Australia,tonnes,Maize,1927,0
Western Australia,tonnes,Maize,1927,0
Tasmania,tonnes,Maize,1927,0
Northern Territory,tonnes,Maize,1927,0
Australian Capital Territory,tonnes,Maize,1927,0
New South Wales,tonnes,Oats,1927,34500
Victoria,tonnes,Oats,1927,88600
Queensland,tonnes,Oats,1927,0
South Australia,tonnes,Oats,1927,31000
Western Australia,tonnes,Oats,1927,49200
Tasmania,tonnes,Oats,1927,24700
Northern Territory,tonnes,Oats,1927,0
Australian Capital Territory,tonnes,Oats,1927,0
New South Wales,tonnes,Wheat,1927,1293900
Victoria,tonnes,Wheat,1927,1276000
Queensland,tonnes,Wheat,1927,10300
South Australia,tonnes,Wheat,1927,967200
Western Australia,tonnes,Wheat,1927,845100
Tasmania,tonnes,Wheat,1927,14500
Northern Territory,tonnes,Wheat,1927,0
Australian Capital Territory,tonnes,Wheat,1927,0
New South Wales,tonnes,Potatoes,1927,54100
Victoria,tonnes,Potatoes,1927,165500
Queensland,tonnes,Potatoes,1927,9900
South Australia,tonnes,Potatoes,1927,15600
Western Australia,tonnes,Potatoes,1927,18000
Tasmania,tonnes,Potatoes,1927,115900
Northern Territory,tonnes,Potatoes,1927,0
Australian Capital Territory,tonnes,Potatoes,1927,0
New South Wales,tonnes,Barley,1928,1500
Victoria,tonnes,Barley,1928,35200
Queensland,tonnes,Barley,1928,1600
South Australia,tonnes,Barley,1928,68100
Western Australia,tonnes,Barley,1928,2900
