Region label,Unit of measure_x,Commodity,Year,Value,Unit of measure_y,Hectares
New South Wales,tonnes,Maize,1920,102900,hectares,55200
Victoria,tonnes,Maize,1920,22300,hectares,9500
Queensland,tonnes,Maize,1920,51100,hectares,46900
South Australia,tonnes,Maize,1920,0,hectares,0
Western Australia,tonnes,Maize,1920,0,hectares,0
Tasmania,tonnes,Maize,1920,0,hectares,0
Northern Territory,tonnes,Maize,1920,0,hectares,0
Australian Capital Territory,tonnes,Maize,1920,0,hectares,0
New South Wales,tonnes,Oats,1920,10600,hectares,30800
Victoria,tonnes,Oats,1920,119800,hectares,226400
Queensland,tonnes,Oats,1920,100,hectares,100
South Australia,tonnes,Oats,1920,29600,hectares,77800
Western Australia,tonnes,Oats,1920,45000,hectares,77700
Tasmania,tonnes,Oats,1920,22500,hectares,19500
Northern Territory,tonnes,Oats,1920,0,hectares,0
Australian Capital Territory,tonnes,Oats,1920,0,hectares,0
New South Wales,tonnes,Wheat,1920,119400,hectares,596600
Victoria,tonnes,Wheat,1920,404400,hectares,776300
Queensland,tonnes,Wheat,1920,8500,hectares,18800
South Australia,tonnes,Wheat,1920,407500,hectares,779800
Western Australia,tonnes,Wheat,1920,305300,hectares,421600
Tasmania,tonnes,Wheat,1920,5800,hectares,4700
Northern Territory,tonnes,Wheat,1920,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1920,0,hectares,0
New South Wales,tonnes,Potatoes,1920,50800,hectares,8100
Victoria,tonnes,Potatoes,1920,148200,hectares,21800
Queensland,tonnes,Potatoes,1920,8000,hectares,1800
South Australia,tonnes,Potatoes,1920,11200,hectares,1400
Western Australia,tonnes,Potatoes,1920,13500,hectares,1500
Tasmania,tonnes,Potatoes,1920,67300,hectares,11500
Northern Territory,tonnes,Potatoes,1920,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1920,0,hectares,0
New South Wales,tonnes,Barley,1921,2800,hectares,2400
Victoria,tonnes,Barley,1921,56600,hectares,38000
Queensland,tonnes,Barley,1921,7200,hectares,6400
South Australia,tonnes,Barley,1921,89600,hectares,81800
Western Australia,tonnes,Barley,1921,2500,hectares,4300
Tasmania,tonnes,Barley,1921,3700,hectares,2500
Northern Territory,tonnes,Barley,1921,0,hectares,0
Australian Capital Territory,tonnes,Barley,1921,0,hectares,0
New South Wales,tonnes,Maize,1921,106100,hectares,58300
Victoria,tonnes,Maize,1921,27100,hectares,9800
Queensland,tonnes,Maize,1921,73900,hectares,54600
South Australia,tonnes,Maize,1921,0,hectares,0
Western Australia,tonnes,Maize,1921,0,hectares,0
Tasmania,tonnes,Maize,1921,0,hectares,0
Northern Territory,tonnes,Maize,1921,0,hectares,0
Australian Capital Territory,tonnes,Maize,1921,0,hectares,0
New South Wales,tonnes,Oats,1921,29800,hectares,31400
Victoria,tonnes,Oats,1921,197900,hectares,179500
Queensland,tonnes,Oats,1921,1900,hectares,1900
South Australia,tonnes,Oats,1921,42200,hectares,67600
Western Australia,tonnes,Oats,1921,36600,hectares,78300
Tasmania,tonnes,Oats,1921,27500,hectares,20400
Northern Territory,tonnes,Oats,1921,0,hectares,0
Australian Capital Territory,tonnes,Oats,1921,0,hectares,0
New South Wales,tonnes,Wheat,1921,1513900,hectares,1265600
Victoria,tonnes,Wheat,1921,1074200,hectares,929100
Queensland,tonnes,Wheat,1921,100800,hectares,71800
South Australia,tonnes,Wheat,1921,931800,hectares,877200
Western Australia,tonnes,Wheat,1921,333100,hectares,516300
Tasmania,tonnes,Wheat,1921,15400,hectares,11400
Northern Territory,tonnes,Wheat,1921,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1921,0,hectares,0
New South Wales,tonnes,Potatoes,1921,64300,hectares,11200
Victoria,tonnes,Potatoes,1921,174400,hectares,25400
Queensland,tonnes,Potatoes,1921,19400,hectares,3500
South Australia,tonnes,Potatoes,1921,17300,hectares,1900
Western Australia,tonnes,Potatoes,1921,13600,hectares,1700
Tasmania,tonnes,Potatoes,1921,90100,hectares,13000
Northern Territory,tonnes,Potatoes,1921,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1921,0,hectares,0
New South Wales,tonnes,Barley,1922,1900,hectares,2000
Victoria,tonnes,Barley,1922,53000,hectares,40500
Queensland,tonnes,Barley,1922,3000,hectares,3100
South Australia,tonnes,Barley,1922,74400,hectares,69200
Western Australia,tonnes,Barley,1922,1900,hectares,3200
Tasmania,tonnes,Barley,1922,3800,hectares,2900
Northern Territory,tonnes,Barley,1922,0,hectares,0
Australian Capital Territory,tonnes,Barley,1922,0,hectares,0
New South Wales,tonnes,Maize,1922,101000,hectares,59400
Victoria,tonnes,Maize,1922,24200,hectares,9400
Queensland,tonnes,Maize,1922,81700,hectares,60300
South Australia,tonnes,Maize,1922,0,hectares,0
Western Australia,tonnes,Maize,1922,0,hectares,0
Tasmania,tonnes,Maize,1922,0,hectares,0
Northern Territory,tonnes,Maize,1922,0,hectares,0
Australian Capital Territory,tonnes,Maize,1922,0,hectares,0
New South Wales,tonnes,Oats,1922,21200,hectares,28200
Victoria,tonnes,Oats,1922,110400,hectares,129000
Queensland,tonnes,Oats,1922,600,hectares,900
South Australia,tonnes,Oats,1922,23500,hectares,50600
Western Australia,tonnes,Oats,1922,36600,hectares,65900
Tasmania,tonnes,Oats,1922,28100,hectares,22100
Northern Territory,tonnes,Oats,1922,0,hectares,0
Australian Capital Territory,tonnes,Oats,1922,0,hectares,0
New South Wales,tonnes,Wheat,1922,1163900,hectares,1293000
Victoria,tonnes,Wheat,1922,1193900,hectares,1056700
Queensland,tonnes,Wheat,1922,82300,hectares,66600
South Australia,tonnes,Wheat,1922,678500,hectares,964800
Western Australia,tonnes,Wheat,1922,378200,hectares,540800
Tasmania,tonnes,Wheat,1922,15700,hectares,11300
Northern Territory,tonnes,Wheat,1922,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1922,0,hectares,0
New South Wales,tonnes,Potatoes,1922,58800,hectares,11900
Victoria,tonnes,Potatoes,1922,176400,hectares,25900
Queensland,tonnes,Potatoes,1922,17100,hectares,3900
South Australia,tonnes,Potatoes,1922,18900,hectares,2400
Western Australia,tonnes,Potatoes,1922,13800,hectares,1500
Tasmania,tonnes,Potatoes,1922,109400,hectares,14900
Northern Territory,tonnes,Potatoes,1922,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1922,0,hectares,0
New South Wales,tonnes,Barley,1923,1300,hectares,1600
Victoria,tonnes,Barley,1923,55400,hectares,41600
Queensland,tonnes,Barley,1923,2100,hectares,2100
South Australia,tonnes,Barley,1923,83900,hectares,87100
Western Australia,tonnes,Barley,1923,2400,hectares,3700
Tasmania,tonnes,Barley,1923,3500,hectares,2300
Northern Territory,tonnes,Barley,1923,0,hectares,0
Australian Capital Territory,tonnes,Barley,1923,0,hectares,0
New South Wales,tonnes,Maize,1923,83500,hectares,55900
Victoria,tonnes,Maize,1923,22400,hectares,10500
Queensland,tonnes,Maize,1923,51400,hectares,48600
South Australia,tonnes,Maize,1923,0,hectares,0
Western Australia,tonnes,Maize,1923,0,hectares,0
Tasmania,tonnes,Maize,1923,0,hectares,0
Northern Territory,tonnes,Maize,1923,0,hectares,0
Australian Capital Territory,tonnes,Maize,1923,0,hectares,0
New South Wales,tonnes,Oats,1923,22700,hectares,29900
Victoria,tonnes,Oats,1923,146800,hectares,199300
Queensland,tonnes,Oats,1923,400,hectares,500
South Australia,tonnes,Oats,1923,30400,hectares,70300
Western Australia,tonnes,Oats,1923,40900,hectares,86700
Tasmania,tonnes,Oats,1923,30500,hectares,23800
Northern Territory,tonnes,Oats,1923,0,hectares,0
Australian Capital Territory,tonnes,Oats,1923,0,hectares,0
New South Wales,tonnes,Wheat,1923,780200,hectares,1190900
Victoria,tonnes,Wheat,1923,971500,hectares,1070100
Queensland,tonnes,Wheat,1923,51100,hectares,58900
South Australia,tonnes,Wheat,1923,782900,hectares,992800
Western Australia,tonnes,Wheat,1923,376900,hectares,628400
Tasmania,tonnes,Wheat,1923,15500,hectares,10200
Northern Territory,tonnes,Wheat,1923,0,hectares,0
Australian Capital Territory,tonnes,Wheat,1923,0,hectares,0
New South Wales,tonnes,Potatoes,1923,36300,hectares,9100
Victoria,tonnes,Potatoes,1923,150700,hectares,25000
Queensland,tonnes,Potatoes,1923,10700,hectares,3100
South Australia,tonnes,Potatoes,1923,17600,hectares,2300
Western Australia,tonnes,Potatoes,1923,15400,hectares,1500
Tasmania,tonnes,Potatoes,1923,102800,hectares,13900
Northern Territory,tonnes,Potatoes,1923,0,hectares,0
Australian Capital Territory,tonnes,Potatoes,1923,0,hectares,0
New South Wales,tonnes,Barley,1924,1600,hectares,1800
Victoria,tonnes,Barley,1924,33000,hectares,22900
Queensland,tonnes,Barley,1924,100,hectares,300
South Australia,tonnes,Barley,1924,73800,hectares,74600
Western Australia,tonnes,Barley,1924,2200,hectares,3500
Tasmania,tonnes,Barley,1924,2200,hectares,1700
Northern Territory,tonnes,Barley,1924,0,hectares,0
Australian Capital Territory,tonnes,Barley,1924,0,hectares,0
New South Wales,tonnes,Maize,1924,117400,hectares,67600
